iter	Passed	Remaining
398	276187	69912
399	276813	69203
400	277468	68502
401	278104	67796
402	278747	67093
403	279561	66430
404	280235	65734
405	280860	65026
406	281556	64336
407	282369	63671
408	283068	62980
409	283616	62257
410	284198	61541
411	284999	60873
412	285734	60191
413	286411	59496
414	287141	58812
415	287882	58130
416	288492	57421
417	289186	56730
418	290054	56072
419	290588	55350
420	291197	54642
421	291789	53932
422	292613	53265
423	293202	52555
424	293876	51860
425	294667	51186
426	295344	50492
427	295869	49772
428	296615	49090
429	297326	48402
430	297927	47696
431	298639	47008
432	299494	46342
433	300010	45623
434	300775	44943
435	301503	44257
436	302120	43555
437	302791	42860
438	303390	42156
439	304245	41488
440	304876	40788
441	305733	40118
442	306431	39427
443	307104	38733
444	307688	38028
445	308461	37347
446	309240	36666
447	309818	35961
448	310444	35262
449	311232	34581
450	311793	33875
451	312438	33179
452	313216	32497
453	313836	31798
454	314519	31106
455	315196	30413
456	315850	29718
457	316486	29022
458	317309	28343
459	318056	27657
460	318691	26960
461	319313	26263
462	319952	25568
463	320736	24884
464	321339	24186
465	322013	23494
466	322619	22797
467	323445	22115
468	324232	21431
469	324859	20735
470	325612	20048
471	326315	19357
472	326974	18664
473	327544	17966
474	328495	17289
475	329182	16597
476	329816	15903
477	330360	15204
478	331165	14518
479	331777	13824
480	332394	13129
481	332907	12432
482	333679	11744
483	334586	11060
484	335268	10369
485	335750	9671
486	336619	8985
487	337373	8296
488	338036	7604
489	338668	6911
490	339320	6219
491	340231	5532
492	340973	4841
493	341986	4153
494	343640	3471
495	344975	2782
496	346524	2091
497	347981	1397
498	349515	700
499	351045	0
