iter	RMSE
352	9.860326175
353	9.855586023
354	9.848733809
355	9.846144237
356	9.833114456
357	9.831199244
358	9.82380715
359	9.819004855
360	9.814007465
361	9.810758043
362	9.804606599
363	9.801224455
364	9.797520935
365	9.790031035
366	9.786899101
367	9.776968445
368	9.773209045
369	9.768386185
370	9.762280467
371	9.755180234
372	9.752343137
373	9.749766218
374	9.740771759
375	9.736234063
376	9.731734689
377	9.728863512
378	9.724714064
379	9.720413648
380	9.718133528
381	9.714662633
382	9.708123279
383	9.703742259
384	9.698932694
385	9.694251914
386	9.690810778
387	9.68558995
388	9.68247601
389	9.679306805
390	9.673457917
391	9.669650429
392	9.665063201
393	9.661808057
394	9.659711787
395	9.648491902
396	9.643979224
397	9.636503996
398	9.634445829
399	9.630365163
400	9.62536989
401	9.622820192
402	9.61836831
403	9.615436292
404	9.611897323
405	9.610461099
406	9.607751962
407	9.604866058
408	9.602445647
409	9.598017111
410	9.593888299
411	9.589782601
412	9.585615067
413	9.581886495
414	9.579117781
415	9.575093083
416	9.573269738
417	9.56921973
418	9.566193435
419	9.563398362
420	9.558545593
421	9.551392105
422	9.549017566
423	9.547185715
424	9.543570328
425	9.541579759
426	9.538491726
427	9.537264437
428	9.534744221
429	9.531312177
430	9.524881927
431	9.520671258
432	9.51856674
433	9.517450486
434	9.515205987
435	9.511933914
436	9.509743414
437	9.508308543
438	9.506598113
439	9.502648482
440	9.49886137
441	9.496451995
442	9.492733084
443	9.48898538
444	9.486816367
445	9.484554114
446	9.482955881
447	9.481301073
448	9.478177925
449	9.476050162
450	9.473743605
451	9.472144305
452	9.466862792
453	9.463596806
454	9.46198212
455	9.460001282
456	9.453832408
457	9.450436982
458	9.449625687
459	9.444950756
460	9.441552042
461	9.439545585
462	9.437159348
463	9.435158432
464	9.433886819
465	9.429068858
466	9.427214535
467	9.424672216
468	9.419927586
469	9.418060188
470	9.414603794
471	9.413134166
472	9.40999247
473	9.408485557
474	9.406708879
475	9.403549316
476	9.402312137
477	9.400365161
478	9.399251902
479	9.397309176
480	9.391777512
481	9.38867131
482	9.386957676
483	9.386162296
484	9.379186433
485	9.377501215
486	9.375070685
487	9.373504601
488	9.370941906
489	9.367087204
490	9.36427654
491	9.353381251
492	9.351129135
493	9.349620418
494	9.347401053
495	9.341861965
496	9.337952065
497	9.335774046
498	9.33271009
499	9.330685933
